session_id,participant_id,condition,task_type,nback_enabled,plan_id,event_name,event_position,emit_trial_number,response_source,expected_response,cue_onset_ms,next_cue_onset_ms,response_onset_ms,response_rt_ms,first_response_onset_ms,first_response_rt_ms,correct_response_onset_ms,correct_response_rt_ms,first_response,first_response_correct,was_corrected,correction_time_ms,eventual_correct,response_sequence_complete,response_end_ms,full_cycle_ms,response_quality,response_quality_reason,cycle_quality,cycle_quality_reason,trial_quality,quality_reason,detector_version,first_wrist_direction,correct_wrist_direction,neutral_return_ms,neutral_return_completion_ms,lr_score_at_onset,ud_score_at_onset,old_lr_class_at_onset,old_ud_class_at_onset,offline_lr_class_at_onset,offline_ud_class_at_onset,online_gate_passed,old_lr_neutral_lower,old_lr_neutral_upper,old_lr_zero_in_neutral_region,old_ud_neutral_lower,old_ud_neutral_upper,old_ud_zero_in_neutral_region,offline_neutral_centered_gate_passed,lr_neutral_centered_sanity_passed,ud_neutral_centered_sanity_passed,pre_existing_response_at_cue,pinch_reference_quality_passed,pinch_reference_quality_reason,contact_reference_available,pre_cue_pinch_state,post_cue_target_state,baseline_pinch_distance,distance_to_open,distance_to_contact,distance_to_pinch,baseline_reference_position,entered_open_reference,entered_contact_reference,entered_pinch_reference,open_reference_onset_ms,contact_reference_onset_ms,pinch_reference_onset_ms,baseline_closure,baseline_closure_mad,baseline_stability,pinch_onset_ms,pinch_rt_ms,pinch_detected,peak_closure,peak_closure_delta,peak_time_ms,release_onset_ms,release_completion_ms,release_drop,release_detected,return_to_precue_baseline_ms,return_to_precue_baseline_completion_ms,returned_to_precue_baseline
12324076_exp2_001_03_motor_dual_plan2_20260819_215120,12324076,motor-only,dual,True,only-motor-2,release,7,40,pinch,contact_to_open,9441875.0,,9444453.0,2578.0,9444453.0,2578.0,9444453.0,2578.0,opening,True,False,,True,True,9445109.0,3234.0,clean,,complete,,clean,,pilot_v0.3,,,,,,,,,,,,,,,,,,,,,,True,,True,contact,open,0.05848489382139409,0.08590593472737489,0.0033887031808814555,0.024468643278455063,1.1216448661335336,True,False,,9444953.0,,,,,4.393934746393241e-05,,,,,,,,,,,,,
12324076_exp2_001_04_motor_dual_plan3_20260819_215447,12324076,motor-only,dual,True,only-motor-3,contact,1,1,pinch,open_to_contact,9584812.0,9595437.0,9585453.0,641.0,9585453.0,641.0,9585453.0,641.0,closing,True,False,,True,True,9585718.0,906.0,clean,,complete,,clean,,pilot_v0.3,,,,,,,,,,,,,,,,,,,,,,True,,True,open,contact,0.11559554138893073,0.024499996073860678,0.05336267385094884,0.06763734391446345,0.31465651123343,False,True,,,9585562.0,,,,5.40371533734596e-06,,,,,,,,,,,,,
12324076_exp2_001_04_motor_dual_plan3_20260819_215447,12324076,motor-only,dual,True,only-motor-3,up,2,6,wrist,up,9595437.0,9610656.0,,,9598093.0,2656.0,,,down,False,False,,False,,,,contaminated,no_correct_wrist_action_before_next_cue,not_applicable,no_correct_wrist_action_before_next_cue,contaminated,no_correct_wrist_action_before_next_cue,pilot_v0.3,down,,,,0.055888686897572204,0.03507225099602308,neutral,neutral,neutral,neutral,True,-0.36681896848686835,0.06847125683084251,True,-0.25183092799052675,0.06224781383299585,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12324076_exp2_001_04_motor_dual_plan3_20260819_215447,12324076,motor-only,dual,True,only-motor-3,down,3,13,wrist,down,9610656.0,9626343.0,9613890.0,3234.0,9613890.0,3234.0,9613890.0,3234.0,down,True,False,,True,,9614531.0,3875.0,clean,,complete,,clean,,pilot_v0.3,down,down,9614375.0,9614531.0,0.06752068120455179,-0.03154251397128453,neutral,neutral,neutral,neutral,True,-0.36681896848686835,0.06847125683084251,True,-0.25183092799052675,0.06224781383299585,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12324076_exp2_001_04_motor_dual_plan3_20260819_215447,12324076,motor-only,dual,True,only-motor-3,slip,4,20,pinch,pinch_then_release,9626343.0,9642203.0,9628406.0,2063.0,9628406.0,2063.0,9628406.0,2063.0,pinch,True,False,,True,True,9629515.0,3172.0,clean,,complete,,clean,,pilot_v0.3,,,,,,,,,,,,,,,,,,,,,,True,,True,contact,contact,0.057313876897309955,0.08278166056548145,0.004918990640671937,0.009355679422842676,1.3445957502895038,,True,,,9629359.0,9628406.0,0.8950516574210703,0.00020129736480423155,0.00020129736480423155,9628406.0,2063.0,True,1.0754525817451412,0.18040092432407095,9628578.0,9628718.0,9628875.0,0.11841090789795172,True,9629343.0,9629500.0,True
12324076_exp2_001_04_motor_dual_plan3_20260819_215447,12324076,motor-only,dual,True,only-motor-3,right,5,27,wrist,right,9642203.0,9657875.0,9644281.0,2078.0,9644281.0,2078.0,9644281.0,2078.0,right,True,False,,True,,9645046.0,2843.0,clean,,complete,,clean,,pilot_v0.3,right,right,9644890.0,9645046.0,0.06806554467012763,-0.05762043974036751,neutral,neutral,neutral,neutral,True,-0.36681896848686835,0.06847125683084251,True,-0.25183092799052675,0.06224781383299585,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12324076_exp2_001_04_motor_dual_plan3_20260819_215447,12324076,motor-only,dual,True,only-motor-3,up,6,34,wrist,up,9657875.0,9671593.0,,,9660937.0,3062.0,,,down,False,False,,False,,,,contaminated,no_correct_wrist_action_before_next_cue,not_applicable,no_correct_wrist_action_before_next_cue,contaminated,no_correct_wrist_action_before_next_cue,pilot_v0.3,down,,,,0.06740333865615339,-0.10254503383303412,neutral,neutral,neutral,neutral,True,-0.36681896848686835,0.06847125683084251,True,-0.25183092799052675,0.06224781383299585,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12324076_exp2_001_04_motor_dual_plan3_20260819_215447,12324076,motor-only,dual,True,only-motor-3,release,7,40,pinch,contact_to_open,9671593.0,,9673859.0,2266.0,9673859.0,2266.0,9673859.0,2266.0,opening,True,False,,True,True,9674359.0,2766.0,clean,,complete,,clean,,pilot_v0.3,,,,,,,,,,,,,,,,,,,,,,True,,True,pinch,open,0.05491810956285492,0.08517742789993649,0.00731475797512697,0.006959912088387643,1.5124292150067375,True,False,,9674203.0,,,,,1.9619718385974205e-06,,,,,,,,,,,,,
12324076_exp2_001_05_motor_dual_plan4_20260819_215836,12324076,motor-only,dual,True,only-motor-4,contact,1,1,pinch,open_to_contact,9840000.0,9851406.0,9840734.0,734.0,9840734.0,734.0,9840734.0,734.0,closing,True,False,,True,True,9841078.0,1078.0,clean,,complete,,clean,,pilot_v0.3,,,,,,,,,,,,,,,,,,,,,,True,,True,open,contact,0.1222654357467799,0.009791058296489324,0.057506624753955016,0.06331028805441555,0.14548878732051204,False,True,,,9840921.0,,,,1.9455219461297912e-05,,,,,,,,,,,,,
12324076_exp2_001_05_motor_dual_plan4_20260819_215836,12324076,motor-only,dual,True,only-motor-4,right,2,6,wrist,right,9851406.0,9864781.0,9853906.0,2500.0,9853906.0,2500.0,9853906.0,2500.0,right,True,False,,True,,9854703.0,3297.0,clean,,complete,,clean,,pilot_v0.3,right,right,9854546.0,9854703.0,0.0831841498460778,0.006187131032204859,neutral,neutral,neutral,neutral,True,-0.29116097738518515,0.10791886760563024,True,-0.23202777343384215,0.08943850484128021,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
