session_id,participant_id,condition,plan_id,event_name,event_position,emit_trial_number,cue_onset_ms,next_cue_onset_ms,response_source,analysis_axis,expected_excursion_direction,baseline_center,baseline_mad,excursion_threshold,pre_cue_value,value_at_onset,first_excursion_direction,first_excursion_onset_ms,first_excursion_rt_ms,first_excursion_peak_value,first_excursion_peak_delta,first_excursion_peak_ms,first_excursion_duration_ms,expected_excursion_detected,expected_excursion_onset_ms,expected_excursion_rt_ms,reversal_detected,reversal_direction,reversal_onset_ms,reversal_rt_ms,overshoot_peak_value,overshoot_peak_delta,overshoot_peak_ms,first_stable_direction,first_stable_rt_ms,stable_matches_first_excursion,response_quality,cycle_quality,quality_reason,detector_version
pinch_haptic_1back_20260814_105854,,dual,dual-5,down,5,28,46557750.0,46571656.0,wrist,ud,down,-0.154910116350701,0.00013835002930978613,0.05654458844051113,-0.15518058087849468,-0.15551101209380533,down,46559453.0,1703.0,-0.5601597539608881,0.4052496376101871,46559765.0,1093.0,True,46559453.0,1703.0,True,up,46560546.0,2796.0,0.007103145293600718,0.16201326164430174,46567515.0,right,,False,contaminated,not_applicable,no_correct_wrist_action_before_next_cue,pilot_v0.2
pinch_haptic_1back_20260814_105854,,dual,dual-5,slip,6,35,46571656.0,46589484.0,pinch,pinch_closure,pinch,0.6178500844793181,0.00026993338048664217,0.07642998310413639,0.617862821404648,0.6178783033817936,pinch,46573500.0,1844.0,0.8368029066981584,0.21895282221884027,46573609.0,,True,46573500.0,1844.0,False,,,,,,,pinch,1797.0,True,clean,complete,,pilot_v0.2
pinch_haptic_1back_20260814_110249,,dual,dual-6,left,2,6,46716312.0,46729796.0,wrist,lr,left,-0.027928292331712783,0.00069210903254701,0.08441751664171258,-0.02902981022765597,-0.02902981022765597,left,46717296.0,984.0,0.34855629055009724,0.37648458288181,46717687.0,,True,46717296.0,984.0,False,,,,,,,left,1125.0,True,clean,complete,,pilot_v0.2
pinch_haptic_1back_20260814_110249,,dual,dual-6,left,3,13,46729796.0,46746109.0,wrist,lr,left,-0.061855625127900805,0.00027290670582742413,0.07861086734593305,-0.06251922444647762,-0.062576712973724,left,46730765.0,969.0,0.34461968992190445,0.4064753150498053,46731187.0,,True,46730765.0,969.0,False,,,,,,,left,1141.0,True,clean,complete,,pilot_v0.2
pinch_haptic_1back_20260814_110249,,dual,dual-6,right,4,20,46746109.0,46762312.0,wrist,lr,right,-0.1128659388408424,0.000201302636077684,0.06840880460334474,-0.1129534334960871,-0.11303945414103789,right,46747015.0,906.0,-0.7054222174694258,0.5925562786285834,46747453.0,1141.0,True,46747015.0,906.0,True,left,46748156.0,2047.0,-0.011852774439863989,0.1010131644009784,46748218.0,right,937.0,True,clean,complete,,pilot_v0.2
pinch_haptic_1back_20260814_110249,,dual,dual-6,up,5,27,46762312.0,46778765.0,wrist,ud,up,-0.14638680171115304,0.00022015289211198275,0.049035141934081296,-0.14594485446217345,-0.14596287998936813,up,46763359.0,1047.0,0.15867773836590884,0.30506454007706185,46763562.0,250.0,True,46763359.0,1047.0,True,down,46763609.0,1297.0,-0.25130301110267284,0.1049162093915198,46763734.0,down,1297.0,False,contaminated,not_applicable,no_correct_wrist_action_before_next_cue,pilot_v0.2
pinch_haptic_1back_20260814_110249,,dual,dual-6,down,6,34,46778765.0,46792359.0,wrist,ud,down,-0.1631199849438551,0.0001124032699901939,0.045688505287540884,-0.16281451022946428,-0.16281451022946428,down,46780281.0,1516.0,-0.5287339383313996,0.3656139533875445,46780625.0,1500.0,True,46780281.0,1516.0,True,up,46781781.0,3016.0,-0.004848763841332961,0.15827122110252215,46791000.0,down,1500.0,True,clean,complete,,pilot_v0.2
pinch_haptic_1back_20260814_111545,,matrix-only,only-matrix-1,slip,2,9,47502640.0,47518453.0,pinch,pinch_closure,pinch,0.44428793928521393,0.001075697240600637,0.08885758785704279,0.4407855120196831,0.44072652612219243,pinch,47504125.0,1485.0,0.8918006216343799,0.44751268234916597,47504406.0,,True,47504125.0,1485.0,False,,,,,,,pinch,1485.0,True,clean,complete,,pilot_v0.2
pinch_haptic_1back_20260814_111545,,matrix-only,only-matrix-1,up,3,17,47518453.0,47534750.0,wrist,ud,up,0.008141872252975572,0.00013863128465521624,0.03903057695427464,0.008436638837339826,0.008442578767647445,up,47520328.0,1875.0,0.10943050082706457,0.10128862857408899,47520406.0,93.0,True,47520328.0,1875.0,True,down,47520421.0,1968.0,-0.27525733009629255,0.28339920234926813,47520828.0,down,2156.0,False,contaminated,not_applicable,no_correct_wrist_action_before_next_cue,pilot_v0.2
pinch_haptic_1back_20260814_111545,,matrix-only,only-matrix-1,right,4,24,47534750.0,47549625.0,wrist,lr,right,-0.1309302614486391,0.00015688689356392616,0.05292865664747253,-0.13081826624527146,-0.13081826624527146,right,47535921.0,1171.0,-0.7753993058761627,0.6444690444275236,47536531.0,,True,47535921.0,1171.0,False,,,,,,,right,1218.0,True,clean,complete,,pilot_v0.2
